Transform(Location(x=-164.732162, y=-95.141876, z=0.094200), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
Transform(Location(x=-184.722168, y=-94.429413, z=0.016694), Rotation(pitch=0.170140, yaw=176.544189, roll=-0.005035))
Transform(Location(x=-205.227051, y=-92.505615, z=0.000117), Rotation(pitch=-0.038358, yaw=173.959137, roll=0.002336))
Transform(Location(x=-225.144974, y=-89.900246, z=0.002112), Rotation(pitch=-0.045749, yaw=171.533768, roll=0.015329))
Transform(Location(x=-245.290848, y=-86.446815, z=0.002156), Rotation(pitch=-0.053255, yaw=170.026901, roll=0.000136))
Transform(Location(x=-262.367798, y=-75.546478, z=0.001430), Rotation(pitch=0.070330, yaw=133.011063, roll=0.115704))
Transform(Location(x=-270.649231, y=-57.077679, z=0.001327), Rotation(pitch=0.088000, yaw=102.510193, roll=0.017605))
Transform(Location(x=-271.469543, y=-36.853107, z=0.001694), Rotation(pitch=0.025374, yaw=86.530930, roll=0.002602))
Transform(Location(x=-270.819092, y=-16.686365, z=0.002274), Rotation(pitch=-0.073397, yaw=86.564056, roll=0.010319))
Transform(Location(x=-264.905884, y=2.435310, z=0.002180), Rotation(pitch=-0.057797, yaw=31.279013, roll=0.152785))
Transform(Location(x=-245.100479, y=5.926691, z=0.001350), Rotation(pitch=0.083820, yaw=4.410733, roll=0.017934))
Transform(Location(x=-224.753387, y=7.636116, z=0.001370), Rotation(pitch=0.080159, yaw=4.605300, roll=0.033204))
Transform(Location(x=-204.502808, y=8.883975, z=0.075552), Rotation(pitch=-0.004979, yaw=3.727057, roll=-5.001253))
Transform(Location(x=-184.498611, y=7.354096, z=0.023176), Rotation(pitch=-0.096128, yaw=-12.624348, roll=-0.183166))
Transform(Location(x=-164.475739, y=5.599057, z=0.001364), Rotation(pitch=0.080241, yaw=-0.713440, roll=-0.062164))
Transform(Location(x=-144.822601, y=9.313550, z=0.074361), Rotation(pitch=0.088799, yaw=10.821321, roll=-4.696321))
Transform(Location(x=-124.906570, y=6.625112, z=0.002046), Rotation(pitch=-0.065618, yaw=15.072524, roll=-0.328888))
Transform(Location(x=-126.924942, y=26.661030, z=0.001348), Rotation(pitch=0.084011, yaw=103.336693, roll=0.022543))
Transform(Location(x=-131.070953, y=46.250736, z=0.002118), Rotation(pitch=-0.047149, yaw=99.561394, roll=0.021915))
Transform(Location(x=-130.473145, y=66.740211, z=0.001430), Rotation(pitch=0.070023, yaw=89.332008, roll=-0.006958))
Transform(Location(x=-132.059845, y=86.707642, z=0.001988), Rotation(pitch=-0.024958, yaw=96.333130, roll=0.009831))
Transform(Location(x=-133.567383, y=107.002419, z=0.002170), Rotation(pitch=-0.055878, yaw=93.473381, roll=0.001391))
Transform(Location(x=-134.245392, y=127.304405, z=0.002010), Rotation(pitch=-0.028564, yaw=90.964813, roll=0.003688))
Transform(Location(x=-124.692566, y=144.954163, z=0.023952), Rotation(pitch=0.188561, yaw=43.731808, roll=-0.102020))
Transform(Location(x=-105.796959, y=152.301819, z=0.056808), Rotation(pitch=0.082864, yaw=10.536328, roll=0.018797))
Transform(Location(x=-85.802841, y=152.954208, z=0.057016), Rotation(pitch=0.047272, yaw=-8.470743, roll=0.031466))
Transform(Location(x=-67.415642, y=144.892624, z=0.057430), Rotation(pitch=-0.023496, yaw=-38.615734, roll=0.165242))
Transform(Location(x=-54.178692, y=129.555634, z=0.056877), Rotation(pitch=0.070911, yaw=-55.189716, roll=0.029234))
Transform(Location(x=-46.441757, y=111.007462, z=0.057267), Rotation(pitch=0.004474, yaw=-75.928627, roll=0.156253))
Transform(Location(x=-37.685421, y=92.906883, z=0.002939), Rotation(pitch=-0.100554, yaw=-30.072607, roll=-0.195984))
Transform(Location(x=-17.283976, y=93.749283, z=0.001909), Rotation(pitch=-0.011174, yaw=16.843294, roll=-0.036133))
Transform(Location(x=2.837003, y=96.029411, z=0.002034), Rotation(pitch=-0.032628, yaw=3.912006, roll=0.000236))
Transform(Location(x=23.022995, y=96.397514, z=0.001954), Rotation(pitch=-0.017451, yaw=-1.494476, roll=0.006032))
Transform(Location(x=43.375927, y=94.919327, z=0.001576), Rotation(pitch=0.045503, yaw=-6.115574, roll=0.020375))
Transform(Location(x=63.058720, y=91.196365, z=0.002156), Rotation(pitch=-0.053310, yaw=-17.151287, roll=0.084244))
Transform(Location(x=81.136734, y=82.590416, z=0.001976), Rotation(pitch=-0.022546, yaw=-38.581524, roll=0.023751))
Transform(Location(x=94.932022, y=68.085068, z=0.002295), Rotation(pitch=-0.077058, yaw=-63.039017, roll=0.352589))
