ID,Town,Start time,End time
00,Town05,2024-11-27 17:17:18,2024-11-27 17:17:26
01,Town05,2024-11-27 17:18:54,2024-11-27 17:19:08
01,Town05,2024-11-27 17:25:17,2024-11-27 17:25:40
00,Town05,2024-11-27 17:26:21,2024-11-27 17:26:46
00,Town05,2024-11-27 17:28:31,2024-11-27 17:28:50
00,Town05,2024-11-27 17:31:05,2024-11-27 17:31:23
00,2024-11-27 17:31:41
00,Town05,2024-11-27 17:32:56,2024-11-27 17:33:02
