Transform(Location(x=-68.663292, y=16.939777, z=9.825753), Rotation(pitch=-0.974941, yaw=-179.513519, roll=-0.014282))
Transform(Location(x=-89.149834, y=16.767469, z=9.448604), Rotation(pitch=-1.054287, yaw=-179.509689, roll=0.018284))
Transform(Location(x=-109.813828, y=16.593313, z=9.053006), Rotation(pitch=-1.151918, yaw=-179.573853, roll=-0.062469))
Transform(Location(x=-130.640244, y=16.450104, z=8.316685), Rotation(pitch=-2.547025, yaw=-179.712921, roll=-0.001068))
Transform(Location(x=-151.689438, y=16.352892, z=7.235777), Rotation(pitch=-2.973017, yaw=-179.846268, roll=0.002006))
Transform(Location(x=-171.840363, y=16.322069, z=6.190402), Rotation(pitch=-2.967246, yaw=179.854874, roll=0.022815))
Transform(Location(x=-192.175507, y=16.381752, z=5.136229), Rotation(pitch=-2.967499, yaw=179.678711, roll=0.029176))
Transform(Location(x=-212.679230, y=16.503128, z=4.073328), Rotation(pitch=-2.967676, yaw=179.547821, roll=0.033778))
Transform(Location(x=-233.339249, y=16.669958, z=3.032224), Rotation(pitch=-2.695800, yaw=179.514130, roll=0.028134))
Transform(Location(x=-254.134308, y=16.774204, z=2.130883), Rotation(pitch=-2.235104, yaw=-179.785843, roll=-0.027924))
Transform(Location(x=-275.030457, y=16.668943, z=1.386492), Rotation(pitch=-1.853331, yaw=-179.502518, roll=-0.025604))
Transform(Location(x=-295.981598, y=16.516592, z=0.799383), Rotation(pitch=-1.357391, yaw=-179.723038, roll=0.001700))
Transform(Location(x=-316.757477, y=16.421185, z=0.376030), Rotation(pitch=-0.987611, yaw=-179.804337, roll=0.002538))
Transform(Location(x=-337.192413, y=16.347752, z=0.113822), Rotation(pitch=-0.520324, yaw=-179.813385, roll=0.000830))
Transform(Location(x=-358.279694, y=16.311993, z=0.008509), Rotation(pitch=-0.267853, yaw=179.749771, roll=0.014889))
Transform(Location(x=-378.647064, y=16.437122, z=-0.002912), Rotation(pitch=-0.135709, yaw=179.325226, roll=0.029868))
Transform(Location(x=-399.081116, y=16.677607, z=0.002634), Rotation(pitch=-0.106168, yaw=179.262314, roll=0.002178))
Transform(Location(x=-419.268860, y=16.964787, z=0.002071), Rotation(pitch=-0.039403, yaw=178.542740, roll=0.021612))
Transform(Location(x=-439.278870, y=19.272650, z=0.001635), Rotation(pitch=0.034923, yaw=169.150742, roll=0.061700))
Transform(Location(x=-458.548584, y=24.962643, z=0.001703), Rotation(pitch=0.023168, yaw=155.202240, roll=0.193276))
Transform(Location(x=-475.605499, y=35.859581, z=0.001725), Rotation(pitch=0.019446, yaw=137.589569, roll=0.237682))
Transform(Location(x=-488.949371, y=51.167034, z=0.001739), Rotation(pitch=0.017082, yaw=121.843506, roll=0.246042))
Transform(Location(x=-497.887421, y=69.787537, z=0.001751), Rotation(pitch=0.015163, yaw=106.433876, roll=0.256952))
Transform(Location(x=-501.945923, y=90.143570, z=0.001763), Rotation(pitch=0.013121, yaw=93.794273, roll=0.215434))
Transform(Location(x=-502.466156, y=110.865913, z=0.001769), Rotation(pitch=0.012124, yaw=89.328072, roll=0.053766))
Transform(Location(x=-502.442596, y=131.443268, z=0.001778), Rotation(pitch=0.010621, yaw=90.826591, roll=-0.026886))
Transform(Location(x=-502.709198, y=151.715607, z=0.001785), Rotation(pitch=0.009460, yaw=90.594559, roll=0.005998))
Transform(Location(x=-502.927124, y=172.436386, z=0.001791), Rotation(pitch=0.008435, yaw=90.638054, roll=-0.000977))
Transform(Location(x=-503.170898, y=192.663864, z=0.001796), Rotation(pitch=0.007582, yaw=90.766205, roll=-0.002289))
Transform(Location(x=-503.524414, y=213.204514, z=0.001808), Rotation(pitch=0.005553, yaw=91.524673, roll=-0.019440))
Transform(Location(x=-504.032166, y=233.931198, z=0.001824), Rotation(pitch=0.002855, yaw=90.520164, roll=0.037231))
Transform(Location(x=-503.655029, y=254.729172, z=0.001834), Rotation(pitch=0.001284, yaw=85.833389, roll=0.116803))
Transform(Location(x=-501.387207, y=275.396759, z=0.001838), Rotation(pitch=0.000608, yaw=79.177109, roll=0.169727))
Transform(Location(x=-496.491089, y=295.504456, z=0.001847), Rotation(pitch=-0.001100, yaw=70.447937, roll=0.213286))
Transform(Location(x=-488.908630, y=314.615753, z=0.001846), Rotation(pitch=-0.000854, yaw=64.458305, roll=0.142886))
Transform(Location(x=-479.584198, y=332.845154, z=0.001845), Rotation(pitch=-0.000854, yaw=59.598576, roll=0.121906))
Transform(Location(x=-468.647919, y=350.056519, z=0.001844), Rotation(pitch=-0.000826, yaw=52.735725, roll=0.176912))
Transform(Location(x=-455.683380, y=365.666351, z=0.001842), Rotation(pitch=-0.000642, yaw=45.565796, roll=0.170765))
Transform(Location(x=-441.015930, y=379.585358, z=0.001841), Rotation(pitch=-0.000642, yaw=39.245655, roll=0.154289))
Transform(Location(x=-424.994415, y=391.834137, z=0.001840), Rotation(pitch=-0.000642, yaw=33.736225, roll=0.133382))
Transform(Location(x=-407.903107, y=402.460999, z=0.001840), Rotation(pitch=-0.000642, yaw=27.822641, roll=0.148134))
Transform(Location(x=-389.792328, y=411.122620, z=0.001839), Rotation(pitch=-0.000642, yaw=21.121824, roll=0.159693))
Transform(Location(x=-370.869415, y=417.712494, z=0.001838), Rotation(pitch=-0.000642, yaw=15.397117, roll=0.138459))
Transform(Location(x=-351.396423, y=422.295532, z=0.001838), Rotation(pitch=-0.000642, yaw=8.849643, roll=0.159118))
Transform(Location(x=-330.695892, y=424.687836, z=0.001837), Rotation(pitch=-0.000519, yaw=2.775206, roll=0.131763))
Transform(Location(x=-309.867859, y=425.213013, z=0.001836), Rotation(pitch=-0.000519, yaw=-0.548126, roll=0.067637))
Transform(Location(x=-289.017731, y=425.023743, z=0.001836), Rotation(pitch=-0.000519, yaw=-0.496551, roll=-0.000214))
Transform(Location(x=-268.151093, y=424.920654, z=0.001837), Rotation(pitch=-0.000519, yaw=0.343405, roll=-0.022522))
Transform(Location(x=-248.141891, y=425.097290, z=0.001837), Rotation(pitch=-0.000519, yaw=0.500602, roll=0.002203))
Transform(Location(x=-228.120987, y=425.174316, z=0.001837), Rotation(pitch=-0.000519, yaw=-0.024200, roll=0.008603))
Transform(Location(x=-208.092453, y=425.140686, z=0.001848), Rotation(pitch=-0.002350, yaw=-0.712036, roll=0.027062))
Transform(Location(x=-187.334610, y=424.358673, z=0.002070), Rotation(pitch=-0.040100, yaw=-4.690157, roll=0.081843))
Transform(Location(x=-167.298584, y=422.202423, z=0.001993), Rotation(pitch=-0.027061, yaw=-8.950330, roll=0.084600))
Transform(Location(x=-147.440048, y=418.120483, z=0.001851), Rotation(pitch=-0.002869, yaw=-15.466237, roll=0.102488))
Transform(Location(x=-127.869896, y=411.662720, z=0.001879), Rotation(pitch=-0.007691, yaw=-21.613359, roll=0.079774))
Transform(Location(x=-109.335846, y=403.831818, z=0.001872), Rotation(pitch=-0.006748, yaw=-24.492805, roll=0.039636))
Transform(Location(x=-91.122414, y=394.734100, z=0.001867), Rotation(pitch=-0.005799, yaw=-29.943121, roll=0.088894))
Transform(Location(x=-73.927345, y=383.335724, z=0.001844), Rotation(pitch=-0.001769, yaw=-37.820782, roll=0.096867))
Transform(Location(x=-58.546528, y=370.079865, z=0.001765), Rotation(pitch=0.011584, yaw=-43.922985, roll=0.074760))
Transform(Location(x=-44.339565, y=355.119415, z=0.001773), Rotation(pitch=0.010266, yaw=-49.587162, roll=0.080227))
Transform(Location(x=-32.006584, y=339.329285, z=0.001783), Rotation(pitch=0.008627, yaw=-55.420795, roll=0.095841))
Transform(Location(x=-21.006647, y=321.830902, z=0.001791), Rotation(pitch=0.007295, yaw=-61.339855, roll=0.099421))
Transform(Location(x=-11.924515, y=303.518677, z=0.001797), Rotation(pitch=0.006215, yaw=-67.043015, roll=0.101534))
Transform(Location(x=-4.690595, y=284.773132, z=0.001803), Rotation(pitch=0.005348, yaw=-71.730614, roll=0.088108))
Transform(Location(x=1.011821, y=265.150391, z=0.001808), Rotation(pitch=0.004460, yaw=-77.456650, roll=0.118590))
Transform(Location(x=4.445271, y=244.734299, z=0.001811), Rotation(pitch=0.003921, yaw=-84.958862, roll=0.137518))
Transform(Location(x=5.669181, y=224.690659, z=0.001839), Rotation(pitch=-0.000731, yaw=-88.977501, roll=0.079193))
Transform(Location(x=5.602051, y=204.614182, z=0.001840), Rotation(pitch=-0.001100, yaw=-91.826111, roll=0.048472))
