Transform(Location(x=202.486740, y=-334.169342, z=0.021310), Rotation(pitch=0.001899, yaw=90.665199, roll=0.000292))
Transform(Location(x=202.485016, y=-334.020844, z=0.021334), Rotation(pitch=-0.002138, yaw=90.665199, roll=0.000286))
Transform(Location(x=202.483292, y=-333.874237, z=0.021355), Rotation(pitch=-0.005676, yaw=90.665199, roll=0.000281))
Transform(Location(x=202.481659, y=-333.729492, z=0.021372), Rotation(pitch=-0.008702, yaw=90.665199, roll=0.000278))
Transform(Location(x=202.480011, y=-333.586792, z=0.021387), Rotation(pitch=-0.011263, yaw=90.665199, roll=0.000275))
Transform(Location(x=202.478378, y=-333.445923, z=0.021400), Rotation(pitch=-0.013401, yaw=90.665199, roll=0.000273))
Transform(Location(x=202.476776, y=-333.307098, z=0.021410), Rotation(pitch=-0.015136, yaw=90.665199, roll=0.000271))
Transform(Location(x=202.475204, y=-333.170197, z=0.021418), Rotation(pitch=-0.016543, yaw=90.665199, roll=0.000269))
Transform(Location(x=202.473648, y=-333.035095, z=0.021425), Rotation(pitch=-0.017670, yaw=90.665199, roll=0.000267))
Transform(Location(x=202.472092, y=-332.901917, z=0.021430), Rotation(pitch=-0.018558, yaw=90.665199, roll=0.000267))
Transform(Location(x=202.470596, y=-332.770569, z=0.021434), Rotation(pitch=-0.019227, yaw=90.665199, roll=0.000265))
Transform(Location(x=202.469116, y=-332.641113, z=0.021437), Rotation(pitch=-0.019739, yaw=90.665199, roll=0.000265))
Transform(Location(x=202.467636, y=-332.513428, z=0.021439), Rotation(pitch=-0.020115, yaw=90.665199, roll=0.000264))
Transform(Location(x=202.466171, y=-332.387543, z=0.021441), Rotation(pitch=-0.020347, yaw=90.665199, roll=0.000264))
Transform(Location(x=202.464767, y=-332.263397, z=0.021441), Rotation(pitch=-0.020504, yaw=90.665199, roll=0.000263))
Transform(Location(x=202.463394, y=-332.140930, z=0.021442), Rotation(pitch=-0.020538, yaw=90.663834, roll=0.000419))
Transform(Location(x=202.462051, y=-332.019989, z=0.021440), Rotation(pitch=-0.020320, yaw=90.661674, roll=0.000541))
Transform(Location(x=202.460693, y=-331.900299, z=0.021437), Rotation(pitch=-0.019739, yaw=90.659370, roll=0.000591))
