Transform(Location(x=29.674198, y=-306.427246, z=0.001746), Rotation(pitch=-0.004119, yaw=-60.142628, roll=-0.001465))
Transform(Location(x=29.699535, y=-306.468536, z=0.001740), Rotation(pitch=-0.003026, yaw=-60.084133, roll=-0.001312))
Transform(Location(x=29.725233, y=-306.510406, z=0.001732), Rotation(pitch=-0.001680, yaw=-60.025845, roll=-0.001282))
Transform(Location(x=29.751478, y=-306.553070, z=0.001722), Rotation(pitch=-0.000034, yaw=-59.967037, roll=-0.001404))
Transform(Location(x=29.778517, y=-306.596985, z=0.001710), Rotation(pitch=0.002090, yaw=-59.906696, roll=-0.001648))
Transform(Location(x=29.806654, y=-306.642548, z=0.001694), Rotation(pitch=0.004781, yaw=-59.843914, roll=-0.002045))
Transform(Location(x=29.836166, y=-306.690216, z=0.001675), Rotation(pitch=0.007984, yaw=-59.777649, roll=-0.002563))
Transform(Location(x=29.867323, y=-306.740387, z=0.001654), Rotation(pitch=0.011598, yaw=-59.706867, roll=-0.003204))
Transform(Location(x=29.900339, y=-306.793365, z=0.001632), Rotation(pitch=0.015429, yaw=-59.630787, roll=-0.003937))
Transform(Location(x=29.935364, y=-306.849304, z=0.001609), Rotation(pitch=0.019268, yaw=-59.549438, roll=-0.004669))
Transform(Location(x=29.972500, y=-306.908417, z=0.001588), Rotation(pitch=0.022956, yaw=-59.462860, roll=-0.005371))
Transform(Location(x=30.011814, y=-306.970825, z=0.001568), Rotation(pitch=0.026358, yaw=-59.371387, roll=-0.005981))
Transform(Location(x=30.053349, y=-307.036530, z=0.001550), Rotation(pitch=0.029418, yaw=-59.275433, roll=-0.006500))
Transform(Location(x=30.097136, y=-307.105591, z=0.001534), Rotation(pitch=0.032102, yaw=-59.175526, roll=-0.006927))
Transform(Location(x=30.143175, y=-307.177948, z=0.001521), Rotation(pitch=0.034383, yaw=-59.072308, roll=-0.007263))
Transform(Location(x=30.191442, y=-307.253662, z=0.001510), Rotation(pitch=0.036227, yaw=-58.966995, roll=-0.007446))
Transform(Location(x=30.241877, y=-307.332581, z=0.001501), Rotation(pitch=0.037641, yaw=-58.860367, roll=-0.007507))
Transform(Location(x=30.294453, y=-307.414673, z=0.001495), Rotation(pitch=0.038673, yaw=-58.752697, roll=-0.007538))
Transform(Location(x=30.349157, y=-307.499847, z=0.001491), Rotation(pitch=0.039397, yaw=-58.643688, roll=-0.007629))
Transform(Location(x=30.405979, y=-307.588104, z=0.001488), Rotation(pitch=0.039868, yaw=-58.533367, roll=-0.007751))
Transform(Location(x=30.464895, y=-307.679260, z=0.001487), Rotation(pitch=0.040093, yaw=-58.420792, roll=-0.007996))
Transform(Location(x=30.525890, y=-307.773285, z=0.001487), Rotation(pitch=0.040114, yaw=-58.304977, roll=-0.008392))
Transform(Location(x=30.588959, y=-307.870026, z=0.001488), Rotation(pitch=0.039963, yaw=-58.184971, roll=-0.008972))
Transform(Location(x=30.654097, y=-307.969482, z=0.001489), Rotation(pitch=0.039677, yaw=-58.060226, roll=-0.009644))
Transform(Location(x=30.721296, y=-308.071503, z=0.001492), Rotation(pitch=0.039287, yaw=-57.929905, roll=-0.010437))
Transform(Location(x=30.790550, y=-308.176086, z=0.001494), Rotation(pitch=0.038830, yaw=-57.793949, roll=-0.011261))
Transform(Location(x=30.861851, y=-308.283142, z=0.001497), Rotation(pitch=0.038345, yaw=-57.653172, roll=-0.011993))
Transform(Location(x=30.935171, y=-308.392639, z=0.001500), Rotation(pitch=0.037846, yaw=-57.508823, roll=-0.012543))
Transform(Location(x=31.010481, y=-308.504578, z=0.001503), Rotation(pitch=0.037354, yaw=-57.362583, roll=-0.012878))
Transform(Location(x=31.087748, y=-308.618927, z=0.001506), Rotation(pitch=0.036890, yaw=-57.216286, roll=-0.012939))
Transform(Location(x=31.166887, y=-308.735687, z=0.001508), Rotation(pitch=0.036425, yaw=-57.074192, roll=-0.012482))
Transform(Location(x=31.247831, y=-308.854828, z=0.001511), Rotation(pitch=0.035940, yaw=-56.938358, roll=-0.011688))
Transform(Location(x=31.330524, y=-308.976349, z=0.001514), Rotation(pitch=0.035428, yaw=-56.809368, roll=-0.010742))
Transform(Location(x=31.414875, y=-309.100220, z=0.001518), Rotation(pitch=0.034854, yaw=-56.689487, roll=-0.009583))
Transform(Location(x=31.500799, y=-309.226288, z=0.001521), Rotation(pitch=0.034219, yaw=-56.579838, roll=-0.008301))
Transform(Location(x=31.588196, y=-309.354553, z=0.001526), Rotation(pitch=0.033475, yaw=-56.481445, roll=-0.006897))
Transform(Location(x=31.676998, y=-309.484802, z=0.001531), Rotation(pitch=0.032594, yaw=-56.391827, roll=-0.005798))
Transform(Location(x=31.767153, y=-309.616943, z=0.001537), Rotation(pitch=0.031555, yaw=-56.308022, roll=-0.005127))
Transform(Location(x=31.858595, y=-309.750824, z=0.001544), Rotation(pitch=0.030401, yaw=-56.228523, roll=-0.004791))
Transform(Location(x=31.951288, y=-309.886230, z=0.001551), Rotation(pitch=0.029158, yaw=-56.151222, roll=-0.004791))
Transform(Location(x=32.045208, y=-310.023132, z=0.001559), Rotation(pitch=0.027881, yaw=-56.074173, roll=-0.005096))
Transform(Location(x=32.140350, y=-310.161377, z=0.001695), Rotation(pitch=0.026481, yaw=-55.995377, roll=-0.005768))
Transform(Location(x=32.236710, y=-310.300903, z=0.001765), Rotation(pitch=0.025183, yaw=-55.917469, roll=-0.006561))
