Transform(Location(x=8.500000, y=19.299999, z=0.000875), Rotation(pitch=0.000000, yaw=-90.299980, roll=0.000000))
Transform(Location(x=8.499801, y=19.269356, z=0.001645), Rotation(pitch=0.014842, yaw=-90.296501, roll=0.000051))
Transform(Location(x=8.499674, y=19.254978, z=0.001628), Rotation(pitch=0.017738, yaw=-90.288597, roll=0.000021))
Transform(Location(x=8.499623, y=19.236782, z=0.001608), Rotation(pitch=0.021208, yaw=-90.299004, roll=0.000092))
Transform(Location(x=8.499520, y=19.214735, z=0.001586), Rotation(pitch=0.024896, yaw=-90.303955, roll=0.000086))
Transform(Location(x=8.499392, y=19.188448, z=0.001567), Rotation(pitch=0.028270, yaw=-90.306145, roll=0.000018))
Transform(Location(x=8.499221, y=19.157730, z=0.001545), Rotation(pitch=0.031911, yaw=-90.301598, roll=-0.000061))
Transform(Location(x=8.499153, y=19.122425, z=0.001526), Rotation(pitch=0.035237, yaw=-90.316612, roll=-0.000092))
Transform(Location(x=8.498897, y=19.082054, z=0.001506), Rotation(pitch=0.038659, yaw=-90.310776, roll=0.000053))
Transform(Location(x=8.498678, y=19.036451, z=0.001486), Rotation(pitch=0.041951, yaw=-90.316154, roll=0.000099))
Transform(Location(x=8.498422, y=18.984674, z=0.001462), Rotation(pitch=0.046042, yaw=-90.319328, roll=0.000071))
Transform(Location(x=8.498105, y=18.926823, z=0.001440), Rotation(pitch=0.049792, yaw=-90.320915, roll=0.000127))
Transform(Location(x=8.497727, y=18.862173, z=0.001416), Rotation(pitch=0.053883, yaw=-90.321228, roll=0.000195))
Transform(Location(x=8.497294, y=18.790518, z=0.001392), Rotation(pitch=0.058016, yaw=-90.322632, roll=0.000284))
Transform(Location(x=8.496804, y=18.711206, z=0.001366), Rotation(pitch=0.062462, yaw=-90.324196, roll=0.000334))
Transform(Location(x=8.496261, y=18.623688, z=0.001338), Rotation(pitch=0.067209, yaw=-90.326263, roll=0.000353))
Transform(Location(x=8.495662, y=18.527918, z=0.001312), Rotation(pitch=0.071649, yaw=-90.328491, roll=0.000359))
Transform(Location(x=8.495009, y=18.424101, z=0.001290), Rotation(pitch=0.075357, yaw=-90.330925, roll=0.000359))
Transform(Location(x=8.494304, y=18.312376, z=0.001273), Rotation(pitch=0.078288, yaw=-90.333549, roll=0.000359))
Transform(Location(x=8.493543, y=18.192841, z=0.001260), Rotation(pitch=0.080542, yaw=-90.336327, roll=0.000362))
