Transform(Location(x=8.514297, y=19.309750, z=0.000000), Rotation(pitch=0.000000, yaw=-90.224854, roll=0.000000))
Transform(Location(x=7.781544, y=-228.070251, z=0.000000), Rotation(pitch=0.000000, yaw=-87.011749, roll=0.000000))
Transform(Location(x=8.183626, y=-233.732254, z=0.000000), Rotation(pitch=0.000000, yaw=-84.864532, roll=0.000000))
Transform(Location(x=8.807528, y=-239.453217, z=0.000000), Rotation(pitch=0.000000, yaw=-82.687561, roll=0.000000))
Transform(Location(x=9.615902, y=-244.951675, z=0.000000), Rotation(pitch=0.000000, yaw=-80.585236, roll=0.000000))
Transform(Location(x=10.660942, y=-250.590485, z=0.000000), Rotation(pitch=0.000000, yaw=-78.415871, roll=0.000000))
Transform(Location(x=11.878280, y=-256.020264, z=0.000000), Rotation(pitch=0.000000, yaw=-76.310890, roll=0.000000))
Transform(Location(x=13.327175, y=-261.517883, z=0.000000), Rotation(pitch=0.000000, yaw=-74.160233, roll=0.000000))
Transform(Location(x=15.014294, y=-267.058594, z=0.000000), Rotation(pitch=0.000000, yaw=-71.969261, roll=0.000000))
Transform(Location(x=16.838856, y=-272.331757, z=0.000000), Rotation(pitch=0.000000, yaw=-69.858505, roll=0.000000))
Transform(Location(x=18.877337, y=-277.585297, z=0.000000), Rotation(pitch=0.000000, yaw=-67.726837, roll=0.000000))
Transform(Location(x=21.127396, y=-282.798065, z=0.000000), Rotation(pitch=0.000000, yaw=-65.579079, roll=0.000000))
Transform(Location(x=23.589636, y=-287.959686, z=0.000000), Rotation(pitch=0.000000, yaw=-63.415756, roll=0.000000))
Transform(Location(x=26.858711, y=-294.132446, z=0.000000), Rotation(pitch=0.000000, yaw=-60.773396, roll=0.000000))
Transform(Location(x=29.750458, y=-299.079041, z=0.000000), Rotation(pitch=0.000000, yaw=-58.605904, roll=0.000000))
Transform(Location(x=32.821960, y=-303.904785, z=0.000000), Rotation(pitch=0.000000, yaw=-56.442017, roll=0.000000))
Transform(Location(x=36.067360, y=-308.602600, z=0.000000), Rotation(pitch=0.000000, yaw=-54.282101, roll=0.000000))
Transform(Location(x=39.479897, y=-313.164948, z=0.000000), Rotation(pitch=0.000000, yaw=-52.126865, roll=0.000000))
Transform(Location(x=43.049664, y=-317.581543, z=0.000000), Rotation(pitch=0.000000, yaw=-49.978661, roll=0.000000))
Transform(Location(x=46.767654, y=-321.844879, z=0.000000), Rotation(pitch=0.000000, yaw=-47.838795, roll=0.000000))
Transform(Location(x=50.622894, y=-325.946594, z=0.000000), Rotation(pitch=0.000000, yaw=-45.709412, roll=0.000000))
Transform(Location(x=54.603870, y=-329.879364, z=0.000000), Rotation(pitch=0.000000, yaw=-43.592571, roll=0.000000))
Transform(Location(x=58.924278, y=-333.836121, z=0.000000), Rotation(pitch=0.000000, yaw=-41.376404, roll=0.000000))
Transform(Location(x=63.145340, y=-337.419525, z=0.000000), Rotation(pitch=0.000000, yaw=-39.281868, roll=0.000000))
Transform(Location(x=67.705856, y=-341.006317, z=0.000000), Rotation(pitch=0.000000, yaw=-37.087074, roll=0.000000))
Transform(Location(x=72.138885, y=-344.233032, z=0.000000), Rotation(pitch=0.000000, yaw=-35.012966, roll=0.000000))
Transform(Location(x=76.904732, y=-347.438751, z=0.000000), Rotation(pitch=0.000000, yaw=-32.840229, roll=0.000000))
Transform(Location(x=81.766190, y=-350.448120, z=0.000000), Rotation(pitch=0.000000, yaw=-30.677393, roll=0.000000))
Transform(Location(x=86.716949, y=-353.260620, z=0.000000), Rotation(pitch=0.000000, yaw=-28.523510, roll=0.000000))
Transform(Location(x=91.750702, y=-355.875488, z=0.000000), Rotation(pitch=0.000000, yaw=-26.377743, roll=0.000000))
Transform(Location(x=96.856712, y=-358.290161, z=0.000000), Rotation(pitch=0.000000, yaw=-24.241148, roll=0.000000))
Transform(Location(x=102.017738, y=-360.499939, z=0.000000), Rotation(pitch=0.000000, yaw=-22.117397, roll=0.000000))
Transform(Location(x=107.227310, y=-362.506134, z=0.000000), Rotation(pitch=0.000000, yaw=-20.005642, roll=0.000000))
Transform(Location(x=112.744873, y=-364.395508, z=0.000000), Rotation(pitch=0.000000, yaw=-17.799467, roll=0.000000))
Transform(Location(x=118.038185, y=-365.988983, z=0.000000), Rotation(pitch=0.000000, yaw=-15.708348, roll=0.000000))
Transform(Location(x=123.625595, y=-367.446106, z=0.000000), Rotation(pitch=0.000000, yaw=-13.524044, roll=0.000000))
Transform(Location(x=129.234818, y=-368.683228, z=0.000000), Rotation(pitch=0.000000, yaw=-11.351179, roll=0.000000))
Transform(Location(x=134.598770, y=-369.659973, z=0.000000), Rotation(pitch=0.000000, yaw=-9.288749, roll=0.000000))
