Transform(Location(x=87.626007, y=-369.241058, z=0.001842), Rotation(pitch=-0.002288, yaw=154.462250, roll=0.051660))
Transform(Location(x=70.168457, y=-359.423553, z=0.001842), Rotation(pitch=-0.002288, yaw=146.798767, roll=0.050842))
Transform(Location(x=54.100986, y=-347.466003, z=0.001842), Rotation(pitch=-0.002288, yaw=140.066818, roll=0.042999))
Transform(Location(x=39.405376, y=-333.850220, z=0.001842), Rotation(pitch=-0.002288, yaw=134.252670, roll=0.042026))
Transform(Location(x=26.299692, y=-318.704224, z=0.001842), Rotation(pitch=-0.002288, yaw=127.121971, roll=0.056243))
Transform(Location(x=15.503842, y=-301.852203, z=0.001842), Rotation(pitch=-0.002288, yaw=118.247536, roll=0.059363))
Transform(Location(x=7.031312, y=-283.709229, z=0.001841), Rotation(pitch=-0.002288, yaw=112.324806, roll=0.034962))
Transform(Location(x=0.292603, y=-264.847992, z=0.001842), Rotation(pitch=-0.002288, yaw=106.290512, roll=0.053041))
Transform(Location(x=-4.106403, y=-245.313339, z=0.001842), Rotation(pitch=-0.002288, yaw=99.090157, roll=0.051245))
Transform(Location(x=-6.083359, y=-225.385361, z=0.001841), Rotation(pitch=-0.002288, yaw=92.960213, roll=0.026055))
Transform(Location(x=-6.901494, y=-205.206619, z=0.001734), Rotation(pitch=0.016017, yaw=91.575104, roll=0.011797))
Transform(Location(x=-7.189445, y=-184.712021, z=0.001636), Rotation(pitch=0.032669, yaw=89.920654, roll=0.016307))
Transform(Location(x=-6.959905, y=-164.324509, z=0.001393), Rotation(pitch=0.073909, yaw=88.900917, roll=0.008269))
Transform(Location(x=-6.693614, y=-143.810822, z=0.001395), Rotation(pitch=0.073657, yaw=90.226746, roll=-0.035095))
Transform(Location(x=-6.885727, y=-122.802048, z=0.001405), Rotation(pitch=0.071813, yaw=90.881226, roll=-0.015137))
Transform(Location(x=-7.057446, y=-102.594940, z=0.001424), Rotation(pitch=0.068582, yaw=89.407143, roll=0.044234))
Transform(Location(x=-6.802802, y=-82.436508, z=0.001471), Rotation(pitch=0.060434, yaw=88.523727, roll=0.040747))
Transform(Location(x=-6.334389, y=-60.901558, z=0.001506), Rotation(pitch=0.054614, yaw=89.126793, roll=-0.014709))
Transform(Location(x=-6.133061, y=-40.233494, z=0.001528), Rotation(pitch=0.050748, yaw=90.597992, roll=-0.060394))
Transform(Location(x=-6.239975, y=-18.603161, z=0.001546), Rotation(pitch=0.047600, yaw=90.252319, roll=-0.012756))
Transform(Location(x=-6.322886, y=1.605756, z=0.001592), Rotation(pitch=0.039936, yaw=89.904388, roll=0.014837))
Transform(Location(x=-6.320803, y=22.386454, z=0.001630), Rotation(pitch=0.033393, yaw=89.812294, roll=0.011954))
Transform(Location(x=-6.266509, y=43.158955, z=0.002300), Rotation(pitch=-0.080323, yaw=89.685074, roll=0.008331))
Transform(Location(x=-6.173428, y=63.769402, z=0.002755), Rotation(pitch=-0.157135, yaw=89.578224, roll=0.006895))
Transform(Location(x=-6.036434, y=84.269814, z=0.002710), Rotation(pitch=-0.149718, yaw=89.476357, roll=0.005143))
Transform(Location(x=-5.852097, y=105.355087, z=0.002528), Rotation(pitch=-0.119084, yaw=89.437378, roll=0.000885))
Transform(Location(x=-5.586108, y=126.129379, z=0.001697), Rotation(pitch=0.022191, yaw=88.878372, roll=0.007156))
Transform(Location(x=-5.333772, y=147.121902, z=0.001407), Rotation(pitch=0.071519, yaw=90.042671, roll=-0.022308))
Transform(Location(x=-5.384145, y=167.335953, z=0.001406), Rotation(pitch=0.071560, yaw=90.356224, roll=-0.009247))
Transform(Location(x=-5.552617, y=187.414551, z=0.002345), Rotation(pitch=-0.088164, yaw=90.777161, roll=-0.012329))
Transform(Location(x=-5.850656, y=207.615540, z=0.002424), Rotation(pitch=-0.101538, yaw=90.914894, roll=-0.002441))
Transform(Location(x=-6.003375, y=228.060440, z=0.002082), Rotation(pitch=-0.043303, yaw=89.304077, roll=0.003355))
Transform(Location(x=-7.072803, y=248.082184, z=0.001459), Rotation(pitch=0.062790, yaw=97.019150, roll=-0.054932))
Transform(Location(x=-10.980689, y=267.850922, z=0.001494), Rotation(pitch=0.056766, yaw=106.132378, roll=-0.113556))
Transform(Location(x=-17.382637, y=287.425476, z=0.001534), Rotation(pitch=0.049963, yaw=110.651314, roll=-0.077728))
Transform(Location(x=-25.428930, y=306.806213, z=0.001563), Rotation(pitch=0.045059, yaw=116.062149, roll=-0.127014))
Transform(Location(x=-35.612110, y=325.666870, z=0.001824), Rotation(pitch=0.000601, yaw=123.695290, roll=-0.205749))
Transform(Location(x=-47.817722, y=342.598755, z=0.002000), Rotation(pitch=-0.029295, yaw=130.365219, roll=-0.174896))
Transform(Location(x=-62.085697, y=357.841400, z=0.001976), Rotation(pitch=-0.025238, yaw=138.230515, roll=-0.176605))
Transform(Location(x=-78.069275, y=371.304565, z=0.001953), Rotation(pitch=-0.021331, yaw=142.283844, roll=-0.074890))
